t;true1;true2;true3;true4;prev1;prev2;prev3;prev4
70;2,527564935064935;3,1674090909090906;3,1686363636363635;3,3832272727272725;2,174881564892556;2,7219677834538185;2,736101476435362;2,9572781671109385
71;2,46002380952381;3,2057499999999997;3,1010999999999997;3,2503;2,225103017105872;2,8807011552509563;2,800302336374187;3,0054257802822444
72;2,253679653679654;2,8766818181818183;2,7800000000000002;3,2337727272727275;2,124997603630315;2,9007026035634236;2,794304965902241;2,906059245779584
73;1,9596031746031746;2,6024285714285713;2,51215;2,626333333333333;2,216727102146194;2,822704612451837;2,7360981053336295;2,972511377995619
74;2,0927437641723357;2,7475238095238095;2,645142857142857;2,8196190476190477;2,119390756081122;2,8588825187043674;2,7527122358699563;2,823997292500171
75;2,2412215320910973;3,0225652173913047;2,968304347826087;3,1291739130434784;2,2006997423730477;2,8458413911965432;2,783092600101151;2,866735208081697
76;2,2503258145363407;3,270421052631579;3,033842105263158;3,1626315789473685;1,9734161162656292;2,6431480766486133;2,5551193176861986;2,816084539970193
77;2,130745341614907;2,974826086956522;2,7781739130434784;3,134782608695652;1,9855411332638981;2,782919347185259;2,608904342370453;2,82220105263314
78;2,060272108843537;2,8173333333333335;2,5221;2,7924761904761906;1,9426915131231834;2,6669935407004197;2,394469459723075;2,6731916935343736
79;2,0918928571428568;2,7274000000000003;2,4751000000000003;2,6154;1,9185938309705841;2,603310043434059;2,390867207189117;2,572408985854678
80;2,256111111111111;2,852238095238095;2,6693809523809526;2,90047619047619;2,000465584460532;2,701313275013313;2,4755226533735626;2,5778033538247223
81;2,2692606516290725;3,052842105263158;2,9225263157894736;3,3322105263157895;2,095861564852431;2,7156222718302327;2,6056901725067037;2,8826125886068947
82;2,2128214285714285;2,9137;2,90055;3,0294499999999998;2,064806812290996;2,7789614740265445;2,7338843480639863;3,0866205251107264
83;2,1909848484848484;2,706;2,685181818181818;2,9065909090909092;2,1137015162798267;2,9017700613179627;2,862150649974351;3,028574169428458
84;2,250227272727273;2,7421363636363636;2,7083636363636363;2,9995000000000003;2,3069660102498526;2,830656548697279;2,7440723783875614;3,0454471390396036
85;2,280297619047619;2,74025;2,68755;3,0206500000000003;2,2053866900650734;2,694901643984132;2,7002261804921375;2,9519901458015925
86;2,4921645021645022;2,9235454545454544;2,8531363636363634;3,0473636363636363;2,3407749846428123;2,7381978419178243;2,620114398300641;3,004395080853555
87;2,5374458874458874;2,933;2,8607727272727272;2,8253181818181816;2,2247361880223173;2,7403454992263776;2,77675807324166;2,7981797474644066
88;2,530702380952381;2,7968;2,60385;2,9074;2,2896892678690537;2,621442703901097;2,420454868728528;2,630641903391981
89;2,393768115942029;2,6852608695652176;2,490173913043478;2,7609565217391308;2,4799516210686474;2,652836980420679;2,541392730215622;2,817226579805258
90;2,234857142857143;2,67345;2,45105;2,65125;2,2722136985557024;2,6007501317529136;2,273957432424187;2,5208969188112986
91;2,324410430839002;2,7357142857142858;2,520095238095238;2,6853333333333333;2,0860132101430158;2,4502362803816466;2,384800456229833;2,4123321650048712
92;2,2527891156462583;2,6724285714285716;2,547714285714286;2,6275714285714287;2,1800149128340736;2,5226281738817504;2,2244673314734222;2,509766683926037
93;2,400413533834586;2,795526315789474;2,6949473684210528;2,868684210526316;2,0376016741460172;2,5954220594881265;2,553086874467838;2,637347830431288
94;2,4000907029478458;2,7535238095238093;2,7144285714285714;2,8936666666666664;2,3302564548773423;2,6428847857422166;2,4830138612451353;2,789273470701522
95;2,430215419501134;2,8964285714285714;2,800761904761905;3,1693809523809526;2,2365923188857697;2,734017438752526;2,8509194597443335;2,869393725895095
96;2,4327891156462584;2,8623809523809522;2,7626190476190478;3,036095238095238;2,334642744032872;2,723862190238226;2,5199503974002577;2,867256263393193
97;2,5189115646258506;2,8958095238095236;2,848952380952381;3,1158571428571427;2,146167259923452;2,635028800512973;2,720686965363059;2,7544449160517566
98;2,4663961038961038;2,8021363636363636;2,7125909090909093;2,907681818181818;2,364128793054832;2,5990233278030783;2,3434163875763514;2,8029851729422055
99;2,298480725623583;2,7054285714285715;2,6313809523809524;2,808142857142857;2,1686770426189907;2,623750313197214;2,7700354004019756;2,7026820163074596
100;2,2193310657596372;2,720952380952381;2,604952380952381;2,7193333333333336;2,215079449729875;2,4317643427018183;2,155422515584384;2,604132035396745
101;2,0094513457556933;2,398217391304348;2,179304347826087;2,3382608695652176;2,1396299591495302;2,4902557636516476;2,4078313995219034;2,617438466017379
102;1,8045112781954886;2,165578947368421;1,9375263157894738;2,024578947368421;2,0473703544770885;2,3819241040076933;1,917716911598018;2,3079880135046373
103;1,4116774891774893;1,6831363636363634;1,4235;1,508181818181818;1,9006419667246814;2,3436873340927558;2,316994492834031;2,1818640454633447
104;1,1242619047619047;1,36425;1,27135;1,3014;2,022514989804236;2,323070752031783;1,892640127942736;2,2570506348392585
105;1,2043859649122808;1,6071052631578948;1,6026842105263157;1,9415263157894738;1,8742251993893053;2,4836899248441386;2,479567572912839;2,4426072542479167
106;1,1386580086580087;1,6442272727272729;1,6778181818181819;2,0167272727272727;2,060274142603276;2,446857509694314;2,214151894983546;2,638216036044351
107;1,2964965986394557;1,793;1,7336666666666665;2,154190476190476;1,930184147497624;2,608221519948681;2,7994523936716944;2,809557471666152
108;1,4110714285714285;1,9381;1,8844;2,4716;2,056391634748345;2,539018610983463;2,258618973638316;2,7801056933462953
109;1,4242748917748917;2,0051363636363635;1,9450909090909092;2,1875;1,8360346757401076;2,536339599057647;2,715237013591435;2,7483719574054963
110;1,211926406926407;1,8553181818181819;1,8538181818181818;2,676636363636364;2,035921808057137;2,4539098536949875;2,1047493197279827;2,743747825382796
111;1,020657596371882;1,6202380952380953;1,5742857142857143;2,0753333333333335;1,8352839595555854;2,5549427840742354;2,780003070511862;2,7584042674393223
112;1,0828458049886622;1,457047619047619;1,3519523809523808;1,7053333333333331;1,8824621346415005;2,2855088356537294;1,9756747150035965;2,6545803649655357
113;1,1005627705627707;1,3966363636363637;1,3070000000000002;1,6692272727272728;1,808082713350352;2,373655293007248;2,432929737178294;2,704171917122498
114;1,010559523809524;1,37725;1,2459;1,51145;1,8258184079724957;2,1548746005293697;1,7034047732354403;2,451606163837113
115;0,885443722943723;1,2758636363636364;1,1813636363636364;1,6332272727272725;1,6579096186589437;2,1972245151433336;2,341435229132826;2,3465320227574034
116;0,7543609022556391;1,1162105263157893;1,0180526315789473;1,2994736842105263;1,7983255537582568;2,116291824520201;1,7191291544025387;2,415942908410848
117;0,7219761904761904;1,05775;0,93295;0,9747;1,6168654842983368;2,332091825424802;2,497116912516963;2,6038697798103136
118;0,893961038961039;1,1957272727272727;1,208590909090909;1,5194545454545454;1,8496886227718539;2,340281418363055;2,081007563204699;2,6347422518725194
119;0,9703628117913833;1,4484285714285714;1,3374285714285714;1,5511428571428572;1,7337470280384137;2,5473452207887837;2,849646543905235;2,7878042492076074
120;1,1121995464852608;1,5625714285714285;1,4306190476190477;1,5254285714285714;1,8887586653530941;2,4263524128095426;2,1111814884632887;2,7069891832976714
121;1,1608874458874459;1,5056818181818181;1,4869999999999999;1,6424999999999998;1,6631685924403408;2,5110450357865735;2,748544505519038;2,581838587693841
122;1,0631309523809525;1,34885;1,3525;1,4018000000000002;1,9303179569813058;2,355770750401341;1,9301175923882607;2,5606567157207745
123;1,064865424430642;1,3785217391304347;1,4287826086956523;1,3880434782608695;1,727383859184925;2,50732339303803;2,7670666277378055;2,535231920544389
124;1,0757709750566893;1,441095238095238;1,3953333333333333;1,5569523809523809;1,8607724004723134;2,207264458799544;1,8002083997199003;2,401594589619309
125;1,1851247165532879;1,5216190476190476;1,4888571428571429;1,6188095238095237;1,7751256690496506;2,350330865673367;2,4647656218662886;2,50512427295356
126;1,0871655328798187;1,4615238095238094;1,3145714285714287;1,4384285714285714;1,835972719870302;2,0888725514194526;1,5292811251224883;2,2480586658669863
127;1,2373922902494332;1,6318571428571427;1,5623333333333331;1,4957619047619048;1,6428719681184032;2,1880851749037875;2,3814344828156395;2,175987523758547
128;1,2500952380952381;1,6136;1,5859;1,60805;1,828062128287526;2,093155538858885;1,5878697218918036;2,1970616873954363
129;1,2730576441102757;1,5478947368421052;1,546263157894737;1,7585263157894737;1,6453931385370606;2,365140861612923;2,5640082632181445;2,4199574464177647
130;1,174472049689441;1,4919565217391304;1,5226521739130434;1,7198260869565216;1,9498159496437621;2,318253754103999;1,9946010833109606;2,512480102754558
131;1,2157268170426065;1,6093684210526316;1,6191052631578948;1,7721052631578948;1,7908543478550467;2,5804649147355394;2,9604374256319184;2,6907918328219447
132;1,154199134199134;1,5366363636363636;1,5169545454545454;1,745;1,9810292613490228;2,413011753226178;2,0540128010413987;2,616063177380636
133;1,0756601731601731;1,4448636363636362;1,4323181818181818;1,6193636363636363;1,7290556744458854;2,5188782132458467;2,8638755616596354;2,5653981443653535
134;1,110250626566416;1,5694210526315788;1,523421052631579;1,6633684210526316;1,9986745791021565;2,320447923609178;1,8670550197599571;2,5264574298559985
135;1,1437370600414078;1,6876086956521739;1,6383478260869566;1,806782608695652;1,7488521082227815;2,5089846204918658;2,8534753016147714;2,5190065571574674
