t;true1;true2;true3;true4;prev1;prev2;prev3;prev4;m1;m2;m3;m4
42;0,19471121900361302;0,06038893737867488;0,1826716845941772;0,08005348266478182;0,24358828262078724;0,11498558230721234;0,30806601969018416;0,13377240463183662;0,24389500051881327;0,1018436602256232;0,29540106244025616;0,1127186626512226
43;0,1483418492493792;0,07831718207502802;0,27023664965530975;0,0972085164713834;0,19014741574909425;0,10497040512749299;0,25805200052502475;0,12844418969789054;0,22212073727959458;0,0843825367527013;0,2524822927946073;0,1062564961092718
44;0,15684013684316017;0,08476048834008724;0,29977229375520353;0,10484839521218428;0,13763128783307932;0,08295451328550738;0,29792201653771927;0,1011813108826859;0,16504291536345145;0,05952342478350341;0,27157484462207687;0,07920016073517724
45;0,12385414315313598;0,07701171535664277;0,20339681956430053;0,12087109009359599;0,16594739759204213;0,07055647227692072;0,25495002947147904;0,09328465579364095;0,21450329082341676;0,06558844647050673;0,2718735410830101;0,09379102231278298
46;0,08241235980402452;0,34343728575042015;0,2717908288253437;0,18468394863207066;0,12598223516059442;0,08528031366669445;0,19945809274612394;0,15472637299323375;0,16375678029205426;0,07121856523437539;0,22466164726749;0,13885464233202044
47;0,15461369323568253;0,2930801985129254;0,23831628974105917;0,10892189779137974;0,12919471839210295;0,09841862857275517;0,22559425912131492;0,14352669838213572;0,16298465363734074;0,09775201372865747;0,234580761010406;0,14096263131681203
48;0,2240546112007703;0,08501626493412022;0,2950800434359508;0,08169465737629035;0,19171011032888902;0,12100616160807336;0,23563981233626155;0,10451131937141464;0,17567275789770678;0,12234831884953384;0,24421384401564117;0,11933678866956071
49;0,17394849261443368;0,2008105687134056;0,28581627990638864;0,1607177093218882;0,27394402775027726;0,1082777138285282;0,2895370333028637;0,08430108076065956;0,21518396991535177;0,11334001069479092;0,2967896179748397;0,10016973304018573
50;0,2588187525618433;0,10290890711580238;0,15790778396754532;0,10523956224795329;0,21935156085600221;0,1130755207447655;0,2970577909296803;0,11913610807053943;0,1730412435866858;0,12996872182754793;0,2876074216380838;0,1312245578080777
51;0,24041473083010526;0,03241606831175283;0,10250022472073234;0,03548951443777223;0,21947475567230715;0,11730669142714338;0,23806223459484932;0,1232161114978475;0,19129209086145055;0,12728962983449282;0,23522706459417164;0,1345757496233521
